,best_categ
3917,0
3921,0
3925,0
3929,0
3933,0
3937,0
3941,0
3945,0
3949,0
3957,0
3961,0
3965,0
3969,0
3973,0
3977,0
3981,0
3982,0
3985,0
3989,0
3993,0
3997,0
4001,0
4005,0
4009,0
4013,0
4017,0
4021,0
4025,0
4033,0
4037,0
4041,0
4045,0
4046,0
4049,0
4053,0
4057,0
4061,0
4065,0
4069,0
4073,0
4077,0
4081,0
4085,0
4089,0
4093,0
4097,0
4101,0
4102,0
4105,0
4109,0
4113,0
4114,0
4117,0
4121,0
4125,0
4129,0
4133,0
4134,0
4137,0
4138,0
4141,0
4145,0
4149,0
4150,0
4153,0
4154,0
4157,0
4158,0
4161,0
4165,0
4166,0
4169,0
4173,0
4177,0
4178,0
4181,0
4182,0
4185,0
4189,0
4193,0
4197,0
4198,0
4201,0
4202,0
4205,0
4209,0
4213,0
4214,0
4217,0
4218,0
4221,0
4225,0
4229,0
4230,0
4233,0
4237,0
4241,0
4242,0
4245,0
4249,0
4253,0
4257,0
4261,0
4262,0
4265,0
4266,0
4269,0
4277,0
4278,0
4281,0
4282,0
4285,0
4286,0
4289,0
4293,0
4297,0
4301,0
4305,0
4306,0
4309,0
4310,0
4313,0
4317,0
4321,0
4325,0
4326,0
4329,0
4330,0
4333,0
4337,0
4341,0
4342,0
4345,0
4346,0
4349,0
4350,0
4353,0
4357,0
4358,0
4361,0
4369,0
4373,0
4374,0
4377,0
4385,0
4389,0
4393,0
4401,0
4417,0
4421,0
4422,0
4425,0
4433,0
4437,0
4438,0
4441,0
4449,0
4453,0
4457,0
4481,0
4485,0
4486,0
4489,0
4497,0
4501,0
4502,0
4505,0
4513,0
4517,0
4521,0
4529,0
4533,0
4545,0
4549,0
4550,0
4553,0
4561,0
4565,0
4566,0
4569,0
4577,0
4581,0
4585,0
4609,0
4610,0
4613,0
4621,0
4625,0
4626,0
4629,0
4630,0
4633,0
4634,0
4637,0
4641,0
4645,0
4646,0
4649,0
4653,0
4657,0
4661,0
4662,0
4665,0
4669,0
4673,0
4674,0
4677,0
4678,0
4685,0
4689,0
4690,0
4693,0
4697,0
4698,0
4701,0
4705,0
4709,0
4710,0
4713,0
4717,0
4721,0
4725,0
4726,0
4729,0
4733,0
4737,0
4738,0
4741,0
4742,0
4745,0
4746,0
4749,0
4753,0
4757,0
4758,0
4761,0
4762,0
4765,0
4769,0
4770,0
4773,0
4774,0
4777,0
4778,0
4781,0
4785,0
4789,0
4790,0
4793,0
4797,0
4801,0
4805,0
4806,0
4809,0
4813,0
4817,0
4818,0
4821,0
4822,0
4825,0
4826,0
4829,0
4833,0
4837,0
4838,0
4841,0
4842,0
4845,0
4849,0
4853,0
4854,0
4857,0
4861,0
4865,0
4869,0
4873,0
4877,0
4885,0
4889,0
4893,0
4894,0
4901,0
4905,0
4909,0
4910,0
4913,0
4917,0
4921,0
4925,0
4926,0
4929,0
4933,0
4937,0
4941,0
4942,0
4945,0
4949,0
4953,0
4957,0
4958,0
4961,0
4965,0
4969,0
4973,0
4974,0
4977,0
4981,0
4985,0
4989,0
4990,0
4993,0
5001,0
5005,0
5009,0
5013,0
5017,0
5021,0
5022,0
5025,0
5029,0
5033,0
5037,0
5038,0
5041,0
5045,0
5049,0
5053,0
5057,0
5061,0
5065,0
5069,0
5073,0
5077,0
5081,0
5085,0
5086,0
5089,0
5093,0
5101,0
5102,0
5105,0
5109,0
5113,0
5117,0
5121,0
5125,0
5129,0
5133,0
5137,0
5138,0
5141,0
5145,0
5149,0
5153,0
5154,0
5157,0
5161,0
5169,0
5170,0
5173,0
5177,0
5181,0
5185,0
5189,0
5193,0
5197,0
5201,0
5202,0
5205,0
5209,0
5213,0
5217,0
5218,0
5221,0
5233,0
5234,0
5237,0
5245,0
5249,0
5253,0
5257,0
5261,0
5265,0
5266,0
5269,0
5273,0
5277,0
5281,0
5282,0
5285,0
5289,0
5297,0
5298,0
5301,0
5302,0
5305,0
5313,0
5314,0
5317,0
5321,0
5325,0
5329,0
5330,0
5333,0
5337,0
5341,0
5345,0
5346,0
5349,0
5350,0
5353,0
5357,0
5361,0
5362,0
5365,0
5369,0
5377,0
5381,0
5385,0
5389,0
5397,0
5401,0
5405,0
5409,0
5413,0
5417,0
5433,0
5437,0
5441,0
5449,0
5453,0
5469,0
5473,0
5477,0
5481,0
5485,0
5493,0
5497,0
5501,0
5505,0
5513,0
5517,0
5521,0
5525,0
5529,0
5533,0
5537,0
5541,0
5545,0
5549,0
5569,0
5573,0
5577,0
5581,0
5585,0
5589,0
5597,0
5605,0
5613,0
5617,0
5621,0
5625,0
5629,0
5637,0
5638,0
5641,0
5642,0
5645,0
5646,0
5649,0
5653,0
5657,0
5658,0
5661,0
5662,0
5665,0
5673,0
5674,0
5677,0
5678,0
5681,0
5685,0
5689,0
5690,0
5693,0
5697,0
5701,0
5702,0
5705,0
5709,0
5710,0
5713,0
5717,0
5721,0
5722,0
5725,0
5726,0
5729,0
5733,0
5737,0
5738,0
5741,0
5742,0
5745,0
5749,0
5753,0
5754,0
5757,0
5761,0
5765,0
5766,0
5769,0
5770,0
5773,0
5774,0
5777,0
5781,0
5785,0
5786,0
5789,0
5790,0
5793,0
5797,0
5801,0
5802,0
5805,0
5806,0
5809,0
5813,0
5817,0
5818,0
5821,0
5825,0
5829,0
5830,0
5833,0
5834,0
5837,0
5838,0
5841,0
5845,0
5849,0
5850,0
5853,0
5854,0
5857,0
5861,0
5865,0
5866,0
5869,0
5870,0
5873,0
5877,0
5881,0
5882,0
5885,0
5889,0
5893,0
5905,0
5921,0
5925,0
5937,0
5953,0
5969,0
5985,0
5989,0
6001,0
6017,0
6033,0
6037,0
6049,0
6053,0
6065,0
6069,0
6081,0
6085,0
6097,0
6101,0
6113,0
6117,0
6129,0
6133,0
6149,0
6153,0
6157,0
6161,0
6165,0
6169,0
6173,0
6177,0
6181,0
6185,0
6189,0
6193,0
6197,0
6201,0
6202,0
6205,0
6206,0
6209,0
6217,0
6221,0
6222,0
6225,0
6229,0
6233,0
6237,0
6241,0
6242,0
6245,0
6249,0
6253,0
6257,0
6261,0
6265,0
6266,0
6269,0
6270,0
6273,0
6277,0
6281,0
6285,0
6289,0
6293,0
6297,0
6301,0
6305,0
6309,0
6310,0
6313,0
6317,0
6325,0
6329,0
6330,0
6333,0
6334,0
6337,0
6341,0
6345,0
6349,0
6350,0
6354,0
6361,0
6365,0
6369,0
6370,0
6373,0
6377,0
6381,0
6385,0
6389,0
6393,0
6394,0
6397,0
6398,0
6405,0
6429,0
6433,0
6437,0
6441,0
6445,0
6449,0
6450,0
6453,0
6454,0
6457,0
6458,0
6461,0
6462,0
6465,0
6469,0
6473,0
6477,0
6481,0
6493,0
6497,0
6498,0
6501,0
6505,0
6509,0
6513,0
6514,0
6517,0
6518,0
6521,0
6522,0
6525,0
6526,0
6529,0
6533,0
6541,0
6545,0
6549,0
6553,0
6561,0
6565,0
6577,0
6578,0
6581,0
6582,0
6585,0
6586,0
6589,0
6590,0
6593,0
6609,0
6621,0
6629,0
6633,0
6637,0
6641,0
6642,0
6645,0
6646,0
6649,0
6650,0
6653,0
6654,0
6657,0
6661,0
6665,0
6666,0
6669,0
6681,0
6685,0
6686,0
6693,0
6697,0
6701,0
6705,0
6706,0
6709,0
6710,0
6713,0
6714,0
6729,0
6730,0
6733,0
6737,0
6741,0
6761,0
6769,0
6770,0
6773,0
6774,0
6777,0
6785,0
6789,0
6793,0
6797,0
6801,0
6805,0
6809,0
6813,0
6833,0
6834,0
6837,0
6838,0
6849,0
6853,0
6857,0
6865,0
6869,0
6873,0
6897,0
6898,0
6905,0
6909,0
6910,0
6913,0
6921,0
6925,0
6929,0
6933,0
6937,0
6941,0
6945,0
6953,0
6957,0
6961,0
6965,0
6969,0
6973,0
6977,0
6981,0
6985,0
6989,0
6993,0
6997,0
7001,0
7005,0
7009,0
7013,0
7017,0
7021,0
7025,0
7029,0
7033,0
7037,0
7041,0
7061,0
7065,0
7069,0
7073,0
7077,0
7081,0
7089,0
7093,0
7097,0
7101,0
7105,0
7109,0
7113,0
7125,0
7129,0
7137,0
7141,0
7145,0
7149,0
7153,0
7157,0
7161,0
7165,0
7169,0
7173,0
7177,0
7178,0
7189,0
7190,0
7193,0
7197,0
7201,0
7205,0
7209,0
7213,0
7214,0
7225,0
7237,0
7241,0
7242,0
7253,0
7257,0
7273,0
7277,0
7289,0
7290,0
7293,0
7294,0
7297,0
7301,0
7305,0
7306,0
7309,0
7313,0
7317,0
7321,0
7329,0
7333,0
7337,0
7341,0
7345,0
7349,0
7353,0
7354,0
7357,0
7358,0
7361,0
7365,0
7369,0
7370,0
7373,0
7381,0
7382,0
7385,0
7389,0
7393,0
7397,0
7401,0
7405,0
7409,0
7413,0
7417,0
7418,0
7421,0
7422,0
7425,0
7429,0
7441,0
7445,0
7446,0
7473,0
7489,0
7493,0
7505,0
7521,0
7522,0
7525,0
7537,0
7538,0
7553,0
7557,0
7585,0
7589,0
7606,0
7617,0
7633,0
7653,0
7654,0
7681,0
7682,0
7685,0
7686,0
7690,0
7693,0
7694,0
7697,0
7698,0
7701,0
7702,0
7705,0
7706,0
7709,0
7710,0
7714,0
7715,0
7717,0
7718,0
7719,0
7721,0
7722,0
7723,0
7726,0
7727,0
7745,0
7746,0
7749,0
7750,0
7754,0
7757,0
7758,0
7761,0
7765,0
7766,0
7769,0
7770,0
7773,0
7774,0
7778,0
7779,0
7781,0
7782,0
7783,0
7785,0
7787,0
7789,0
7790,0
7791,0
7809,0
7810,0
7813,0
7814,0
7817,0
7818,0
7821,0
7822,0
7825,0
7829,0
7830,0
7833,0
7834,0
7837,0
7838,0
7842,0
7843,0
7846,0
7847,0
7851,0
7854,0
7855,0
7873,0
7874,0
7877,0
7878,0
7882,0
7886,0
7889,0
7890,0
7893,0
7894,0
7897,0
7898,0
7901,0
7907,0
7910,0
7911,0
7914,0
7915,0
7918,0
7919,0
7937,0
7938,0
7942,0
7946,0
7950,0
7954,0
7957,0
7958,0
7961,0
7962,0
7965,0
7966,0
7970,0
7971,0
7973,0
7974,0
7975,0
7977,0
7978,0
7979,0
7981,0
7982,0
7983,0
8001,0
8002,0
8006,0
8010,0
8014,0
8017,0
8018,0
8021,0
8022,0
8025,0
8026,0
8030,0
8033,0
8034,0
8035,0
8038,0
8039,0
8041,0
8042,0
8043,0
8046,0
8047,0
8066,0
8070,0
8074,0
8078,0
8081,0
8082,0
8086,0
8098,0
8099,0
8102,0
8103,0
8106,0
8107,0
8111,0
8129,0
8130,0
8134,0
8138,0
8142,0
8146,0
8162,0
8163,0
8166,0
8167,0
8169,0
8170,0
8171,0
8175,0
8194,0
8197,0
8198,0
8201,0
8202,0
8210,0
8213,0
8214,0
8218,0
8221,0
8225,0
8226,0
8227,0
8229,0
8230,0
8231,0
8234,0
8235,0
8237,0
8238,0
8239,0
8258,0
8261,0
8262,0
8265,0
8266,0
8269,0
8274,0
8277,0
8278,0
8281,0
8282,0
8285,0
8286,0
8291,0
8293,0
8294,0
8295,0
8297,0
8298,0
8299,0
8301,0
8302,0
8303,0
8322,0
8325,0
8326,0
8329,0
8330,0
8333,0
8337,0
8338,0
8341,0
8342,0
8345,0
8350,0
8355,0
8359,0
8361,0
8362,0
8363,0
8365,0
8366,0
8367,0
8386,0
8389,0
8390,0
8393,0
8394,0
8397,0
8398,0
8401,0
8402,0
8405,0
8406,0
8409,0
8410,0
8413,0
8414,0
8418,0
8419,0
8422,0
8423,0
8426,0
8427,0
8429,0
8430,0
8431,0
8449,0
8453,0
8461,0
8462,0
8465,0
8466,0
8469,0
8470,0
8473,0
8474,0
8477,0
8478,0
8481,0
8482,0
8483,0
8485,0
8486,0
8487,0
8489,0
8490,0
8491,0
8493,0
8494,0
8495,0
8513,0
8517,0
8521,0
8522,0
8525,0
8526,0
8529,0
8530,0
8533,0
8534,0
8537,0
8538,0
8541,0
8542,0
8545,0
8546,0
8547,0
8549,0
8550,0
8551,0
8553,0
8554,0
8555,0
8557,0
8558,0
8559,0
8577,0
8581,0
8585,0
8586,0
8589,0
8590,0
8593,0
8594,0
8597,0
8598,0
8602,0
8606,0
8609,0
8610,0
8611,0
8613,0
8614,0
8615,0
8618,0
8619,0
8622,0
8623,0
8641,0
8642,0
8645,0
8646,0
8649,0
8650,0
8653,0
8657,0
8658,0
8661,0
8662,0
8666,0
8669,0
8670,0
8673,0
8674,0
8675,0
8677,0
8678,0
8679,0
8681,0
8682,0
8683,0
8685,0
8686,0
8687,0
8705,0
8706,0
8709,0
8710,0
8713,0
8714,0
8718,0
8721,0
8722,0
8725,0
8726,0
8729,0
8730,0
8733,0
8734,0
8737,0
8738,0
8739,0
8741,0
8742,0
8743,0
8745,0
8746,0
8747,0
8749,0
8750,0
8751,0
8769,0
8770,0
8773,0
8774,0
8777,0
8778,0
8782,0
8786,0
8789,0
8790,0
8793,0
8794,0
8797,0
8798,0
8801,0
8802,0
8803,0
8806,0
8807,0
8810,0
8811,0
8814,0
8815,0
8833,0
8834,0
8837,0
8838,0
8841,0
8846,0
8849,0
8850,0
8853,0
8854,0
8857,0
8858,0
8861,0
8862,0
8866,0
8867,0
8870,0
8871,0
8874,0
8875,0
8878,0
8879,0
8897,0
8898,0
8901,0
8902,0
8905,0
8906,0
8910,0
8913,0
8914,0
8918,0
8922,0
8925,0
8926,0
8929,0
8930,0
8931,0
8933,0
8934,0
8935,0
8937,0
8938,0
8939,0
8942,0
8943,0
8961,0
8962,0
8965,0
8966,0
8977,0
8978,0
8981,0
8982,0
8986,0
8993,0
8994,0
8995,0
8997,0
8998,0
8999,0
9002,0
9025,0
9026,0
9029,0
9030,0
9041,0
9042,0
9045,0
9046,0
9050,0
9058,0
9059,0
9062,0
9063,0
9089,0
9090,0
9093,0
9094,0
9105,0
9106,0
9109,0
9110,0
9114,0
9122,0
9123,0
9126,0
9127,0
9153,0
9154,0
9157,0
9158,0
9169,0
9170,0
9173,0
9174,0
9186,0
9187,0
9190,0
9191,0
9217,0
9218,0
9221,0
9222,0
9225,0
9226,0
9229,0
9230,0
9233,0
9234,0
9237,0
9241,0
9242,0
9245,0
9246,0
9249,0
9253,0
9257,0
9261,0
9265,0
9266,0
9269,0
9273,0
9277,0
9278,0
9281,0
9282,0
9285,0
9286,0
9289,0
9290,0
9293,0
9294,0
9297,0
9298,0
9301,0
9302,0
9305,0
9306,0
9309,0
9310,0
9313,0
9317,0
9321,0
9325,0
9329,0
9330,0
9333,0
9337,0
9341,0
9345,0
9346,0
9349,0
9350,0
9353,0
9354,0
9357,0
9358,0
9361,0
9365,0
9369,0
9370,0
9373,0
9374,0
9377,0
9381,0
9385,0
9389,0
9393,0
9394,0
9397,0
9401,0
9405,0
9409,0
9410,0
9413,0
9414,0
9417,0
9418,0
9421,0
9422,0
9425,0
9426,0
9429,0
9433,0
9437,0
9438,0
9441,0
9445,0
9449,0
9453,0
9457,0
9458,0
9461,0
9462,0
9465,0
9469,0
9470,0
9473,0
9474,0
9477,0
9478,0
9481,0
9485,0
9489,0
9493,0
9494,0
9497,0
9498,0
9501,0
9505,0
9506,0
9509,0
9510,0
9513,0
9514,0
9517,0
9518,0
